Order ID,Order Date,Ship Date,customer Name,Customer ID,Customer Segment,product ID,Category,Product Name,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,payment Mode,Delivery Status,supplier Name,supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1010,01-05-2024,04-05-2024,Sheena Anthony,CUST827,Home Office,PROD2300,Electronics,Keyboard,East,South Dakota,Susanton,2,3071,10,5527.8,4392.88,1134.92,Cash,Delivered,Weiss-Collier,kevin37@smith-caldwell.com,34,No,0
ORD1011,03-09-2024,10-09-2024,Jo Henderson,CUST962,Home Office,PROD3824,Grocery,Juice Pack,North,Utah,Coryberg,8,1084,10,7804.8,4797.7,3007.1,Cash,Pending,Rasmussen-Santana,estesbrandi@rice.info,4,Yes,46
ORD1012,30-12-2024,31-12-2024,Rachel Wells,CUST190,Consumer,PROD2865,Grocery,Rice Bag,South,Oregon,Port Crystal,4,4699,15,15976.6,12645.91,3330.69,Cash,Pending,Morris Ltd,brooksvanessa@simpson-garcia.com,28,No,0
ORD1013,11-08-2025,14-08-2025,Cathy Delgado,CUST586,Home Office,PROD2704,Grocery,Juice Pack,East,Georgia,Snydershire,3,1226,0,3678,3017.66,660.34,Net Banking,Returned,Pruitt Ltd,caitlincampbell@wyatt-kelly.info,1,Yes,27
ORD1014,05-11-2024,07-11-2024,Katherine Mack,CUST920,Consumer,PROD3004,Office Supplies,File Folder,West,Texas,Erictown,10,185,5,1757.5,1315.02,442.48,UPI,Delivered,Wyatt-Adams,nrocha@evans-watson.com,26,No,0
ORD1015,03-08-2025,08-08-2025,Jaime Jones,CUST733,Corporate,PROD2844,Grocery,Sugar,South,Florida,New Robin,4,1906,20,6099.2,4617.22,1481.98,Net Banking,Returned,"Ball, Parsons and Hancock",john52@francis.biz,1,Yes,35
ORD1016,05-11-2025,08-11-2025,Alicia Diaz,CUST353,Consumer,PROD3867,Electronics,Mouse,East,Utah,Jaredside,1,3072,5,2918.4,2404.77,513.63,Net Banking,Delivered,Stevens-Hebert,kimberly36@harmon.com,34,No,0
ORD1017,01-03-2025,02-03-2025,Nancy Blackburn,CUST979,Home Office,PROD4969,Office Supplies,Notbook,North,South Dakota,Hancockborough,9,3290,10,26649,22995.37,3653.63,UPI,Returned,"Reynolds, Martin and Vasquez",robinsondavid@thomas-howard.com,15,No,0
ORD1018,31-12-2024,06-01-2025,Amber Campbell,CUST265,Consumer,PROD2690,Furniture,Bookshelf,East,Montana,Poncefurt,6,4732,10,25552.8,20313.05,5239.75,UPI,Pending,Martinez-Nguyen,reginajones@brown.com,41,No,0
ORD1019,28-04-2024,03-05-2024,Adam Reynolds,CUST530,Consumer,PROD1884,Electronics,Headphones,West,Maryland,Lake Laurenton,9,3209,20,23104.8,17722.05,5382.75,Cash,Returned,Montgomery Ltd,allenvickie@williams-leonard.com,29,No,0
ORD1020,08-05-2024,15-05-2024,Eric Lindsey,CUST438,Consumer,PROD1701,Grocery,Juice Pack,West,North Carolina,Lake Valerieborough,1,1197,5,1137.15,781.59,355.56,Credit Card,Returned,Manning Inc,ashley75@cole.net,18,No,0
ORD1021,09-11-2025,13-11-2025,Peter Frye,CUST510,Consumer,PROD6306,Furniture,Study Table,North,Connecticut,Daltonstad,10,1512,5,14364,10108.04,4255.96,Net Banking,Returned,"Miller, Vaughn and Silva",timothyfisher@wood-pennington.com,48,No,0
ORD1022,05-05-2025,09-05-2025,Louis Tate,CUST997,Consumer,PROD2175,Grocery,Cooking Oil,East,Minnesota,West Daniellehaven,7,3584,5,23833.6,20886.17,2947.43,UPI,Cancelled,Smith-Campbell,lisa75@webster-smith.com,27,No,0
ORD1023,03-01-2025,05-01-2025,Maria Washington,CUST958,Corporate,PROD5254,Grocery,Rice Bag,North,Alabama,Martinstad,4,936,15,3182.4,2694.99,487.41,Cash,Cancelled,Galloway LLC,mjohnson@wells.com,26,No,0
ORD1024,26-09-2025,03-10-2025,Karen Norris,CUST375,Corporate,PROD2603,Grocery,Juice Pack,West,North Dakota,West Davidburgh,3,4998,10,13494.6,9840.51,3654.09,Cash,Pending,Morris-Murphy,morsemark@anderson.com,34,No,0
ORD1025,22-03-2025,24-03-2025,Jennifer Bernard,CUST974,Consumer,PROD2211,Electronics,Mouse,West,Utah,Williamston,10,3852,15,32742,20397.13,12344.87,Credit Card,Cancelled,"Herrera, Carney and Mcclure",meghanlindsey@james.info,34,No,0
ORD1026,22-06-2024,24-06-2024,Eric Williams,CUST941,Corporate,PROD7558,Electronics,Laptop,North,West Virginia,Maryhaven,1,1253,0,1253,931.43,321.57,Credit Card,Pending,"Edwards, Schmidt and Hughes",travis91@carpenter.biz,33,No,0
ORD1027,29-01-2024,31-01-2024,Karen Herrera,CUST768,Home Office,PROD3463,Grocery,Smacks,South,Massachusetts,North Joseph,1,112,10,100.8,66.83,33.97,UPI,Pending,Howard PLC,bakermichael@williamson.com,43,No,0
ORD1028,19-08-2025,25-08-2025,April Sosa,CUST976,Corporate,PROD1267,Office Supplies,Notbook,South,Alaska,South Lisaborough,5,2052,0,10260,8095.76,2164.24,UPI,Returned,Johnson-Herrera,leslie92@miller.com,25,No,0
ORD1029,17-10-2025,21-10-2025,Nicole Moody,CUST773,Home Office,PROD3275,Furniture,Dining Table,West,Pennsylvania,Lake Victorstad,7,960,5,6384,4753.66,1630.34,Credit Card,Returned,Moore-Mckenzie,diana98@tran-barr.com,44,No,0
ORD1030,23-08-2025,24-08-2025,Robert Barnett,CUST401,Corporate,PROD8361,Electronics,Mouse,West,Virginia,Estesfurt,2,4985,0,9970,8567.51,1402.49,Credit Card,Returned,Mccullough-Cannon,peter38@foster.info,34,No,0
ORD1031,25-04-2025,30-04-2025,Amanda Jackson,CUST801,Corporate,PROD8465,Grocery,Rice Bag,West,Maryland,New Malik,6,1329,0,7974,5799.84,2174.16,Credit Card,Cancelled,Ritter Inc,richard47@morris.com,32,No,0
ORD1032,18-07-2024,19-07-2024,Matthew Wood,CUST340,Consumer,PROD4357,Office Supplies,Notbook,North,Missouri,East Patrickborough,3,419,5,1194.15,769.7,424.45,Net Banking,Returned,"Graves, Clark and Tucker",brittanymurray@king-jones.com,16,No,0
ORD1033,21-08-2024,22-08-2024,Kathryn Allen,CUST334,Home Office,PROD6791,Electronics,Monitor,West,Nevada,Edwardside,2,286,0,572,451.32,120.68,Cash,Delivered,Perez PLC,curtis84@carpenter.com,18,No,0
ORD1034,24-12-2025,30-12-2025,Peter Mcdaniel,CUST949,Consumer,PROD1183,Grocery,Smacks,West,Delaware,Port Tracy,1,848,5,805.6,565.75,239.85,Net Banking,Delivered,Miller-Mcclain,larmstrong@pope.com,46,No,0
ORD1035,15-10-2024,22-10-2024,Amy Padilla,CUST487,Corporate,PROD3281,Furniture,Sofa,North,New Hampshire,Port Jessicabury,8,4874,5,37042.4,24681.06,12361.34,Net Banking,Pending,Walters-Clark,colin47@hernandez.org,24,No,0
ORD1036,13-12-2024,20-12-2024,Heather Robinson,CUST391,Corporate,PROD7579,Electronics,Keyboard,North,Colorado,East Ashleyfurt,4,2427,5,9222.6,6536.33,2686.27,Credit Card,Returned,Hall and Sons,darrylmelendez@thompson.info,7,Yes,40
ORD1037,20-02-2025,21-02-2025,Marissa Davis,CUST508,Corporate,PROD8833,Electronics,Mouse,South,Florida,Ayalatown,4,2722,10,9799.2,8053.55,1745.65,Credit Card,Pending,Russell Inc,carlcooley@ramos.com,15,No,0
ORD1038,15-11-2024,21-11-2024,Frank Huang,CUST335,Corporate,PROD7404,Office Supplies,Stepler,East,North Dakota,Port Stephen,7,4892,15,29107.4,19393.64,9713.76,Cash,Cancelled,Gomez-Weber,browncynthia@hensley.com,32,No,0
ORD1039,21-08-2025,23-08-2025,Tricia Frye,CUST796,Home Office,PROD5943,Electronics,Laptop,North,Oklahoma,Floreston,6,144,5,820.8,551.39,269.41,Cash,Returned,"Peterson, Farrell and Clark",tball@robinson.biz,24,No,0
ORD1040,18-02-2024,24-02-2024,William Bass,CUST932,Home Office,PROD6146,Furniture,Dining Table,North,Connecticut,Hudsonburgh,7,1199,10,7553.7,6459.52,1094.18,UPI,Delivered,"Walker, Mendez and Carter",ericluna@meyers-young.com,1,Yes,25
ORD1041,25-07-2025,26-07-2025,Melinda Rodriguez,CUST748,Corporate,PROD8003,Electronics,Mouse,West,Utah,North Ryan,8,4781,20,30598.4,20133.15,10465.25,Cash,Returned,Waller-Brown,xdennis@beltran.com,13,No,0
ORD1042,28-09-2025,05-10-2025,Richard Nolan,CUST241,Corporate,PROD5576,Furniture,Dining Table,South,Kentucky,South Stephen,10,2763,0,27630,23469.26,4160.74,UPI,Cancelled,Wells-Williams,michael55@moss-evans.org,49,No,0
ORD1043,18-08-2025,20-08-2025,Victoria Hester,CUST636,Consumer,PROD4716,Electronics,Keyboard,West,Pennsylvania,Cynthiaberg,6,3073,15,15672.3,14087.74,1584.56,Net Banking,Pending,"Lawrence, Gutierrez and Jacobs",wendy59@bryan-payne.biz,37,No,0
ORD1044,05-12-2025,11-12-2025,Eddie Chen,CUST645,Consumer,PROD2070,Electronics,Headphones,North,Indiana,Jonathanshire,9,3190,20,22968,16166.41,6801.59,Net Banking,Returned,Noble-Coleman,oshelton@reilly.com,36,No,0
ORD1045,24-02-2024,02-03-2024,Cassandra Lozano,CUST503,Corporate,PROD1657,Grocery,Rice Bag,North,Oregon,South Williamfort,4,3890,10,14004,12058.9,1945.1,UPI,Delivered,Martinez-Crawford,goodmanmegan@nelson.com,42,No,0
ORD1046,23-10-2024,25-10-2024,Michelle Thomas,CUST140,Corporate,PROD4842,Office Supplies,File Folder,East,Indiana,South Rebeccafurt,4,369,15,1254.6,847.2,407.4,Cash,Delivered,Mays Ltd,ortizgloria@fernandez-mullen.biz,19,No,0
ORD1047,09-11-2024,11-11-2024,Heather Young,CUST102,Consumer,PROD3175,Electronics,Mouse,West,Minnesota,West Mollymouth,6,846,5,4822.2,3642.94,1179.26,Net Banking,Cancelled,Perez-Clark,murphydarrell@rhodes.biz,6,Yes,47
ORD1048,28-05-2024,04-06-2024,Samuel Salazar,CUST192,Home Office,PROD1369,Electronics,Laptop,North,New Mexico,East Darrell,3,4817,10,13005.9,9581.6,3424.3,UPI,Pending,Murray-Martinez,stephen33@russell-powell.org,6,Yes,26
ORD1049,02-07-2025,04-07-2025,Kimberly James,CUST724,Home Office,PROD9336,Office Supplies,Calculator,East,Missouri,West Sean,6,601,10,3245.4,2599.41,645.99,UPI,Returned,"Hamilton, Huynh and Allen",brandonduran@gonzalez-camacho.com,39,No,0
ORD1050,04-02-2025,10-02-2025,Lisa Cruz,CUST682,Corporate,PROD9359,Office Supplies,File Folder,East,Virginia,Petersonton,10,3970,15,33745,23086.32,10658.68,Credit Card,Pending,"Greene, Russell and Campbell",joannelloyd@smith.com,7,Yes,32
ORD1051,23-05-2025,29-05-2025,John Hurst,CUST532,Corporate,PROD8947,Electronics,Keyboard,South,Rhode Island,Lake Marilyn,4,3643,20,11657.6,8426.07,3231.53,Credit Card,Returned,Mills-Cruz,laurennelson@chapman.com,46,No,0
ORD1052,19-06-2025,22-06-2025,William Ryan,CUST284,Home Office,PROD8998,Grocery,Rice Bag,West,New Jersey,East Kelly,10,3741,20,29928,24594.68,5333.32,Credit Card,Delivered,"Turner, Holloway and Deleon",ilewis@harris.com,33,No,0
ORD1053,16-11-2025,23-11-2025,Ralph Figueroa,CUST470,Home Office,PROD5956,Office Supplies,Stepler,East,Colorado,Lake Jennifer,8,606,20,3878.4,2804.06,1074.34,Credit Card,Delivered,Wagner-Lewis,woodwardchristina@stewart.net,19,No,0
ORD1054,28-11-2024,29-11-2024,Tyler Brown,CUST446,Consumer,PROD7878,Furniture,Office Chair,East,North Dakota,Heatherport,6,1190,20,5712,4756.53,955.47,Credit Card,Delivered,Davis and Sons,adam47@mason-baker.com,14,No,0
ORD1055,14-11-2024,19-11-2024,Karen Watkins,CUST206,Home Office,PROD6312,Furniture,Dining Table,West,Iowa,Dwaynechester,7,3128,0,21896,13327.48,8568.52,UPI,Pending,Ibarra-Suarez,josephhendricks@singh-green.com,29,No,0
ORD1056,03-07-2024,08-07-2024,Melanie Allen MD,CUST925,Corporate,PROD2224,Electronics,Headphones,East,New York,Morganland,5,3773,10,16978.5,13644.29,3334.21,Net Banking,Cancelled,Adams Ltd,monica22@hamilton.biz,25,No,0
ORD1057,21-01-2024,28-01-2024,Patricia Montes,CUST651,Home Office,PROD2715,Grocery,Smacks,South,Wisconsin,New Vincenthaven,7,1509,5,10034.85,6490.19,3544.66,Cash,Returned,"Guzman, Montgomery and Merritt",walkerdamon@lynch.net,19,No,0
ORD1058,13-08-2024,20-08-2024,Adam Clayton,CUST939,Corporate,PROD7226,Office Supplies,Calculator,North,Oregon,Aprilfort,8,3431,15,23330.8,20633.9,2696.9,Cash,Delivered,Hunt PLC,fyork@farley.com,36,No,0
ORD1059,05-11-2025,08-11-2025,Desiree Phillips,CUST552,Consumer,PROD2168,Grocery,Rice Bag,South,Wyoming,Gibbsmouth,4,1971,0,7884,6789.83,1094.17,Credit Card,Returned,Hernandez Ltd,lisa30@garcia-robbins.com,23,No,0
ORD1060,29-12-2024,30-12-2024,Jeffrey Kline,CUST976,Home Office,PROD3843,Electronics,Monitor,West,Wisconsin,Barrystad,2,2213,0,4426,3443.05,982.95,Cash,Cancelled,Olson-Weiss,matthewponce@kelly.net,22,No,0
ORD1061,11-01-2026,15-01-2026,Haley Smith,CUST246,Consumer,PROD7927,Furniture,Dining Table,West,Mississippi,Smithshire,7,695,20,3892,2868.63,1023.37,Cash,Cancelled,Lyons-Cooper,monica55@herrera.biz,47,No,0
ORD1062,28-12-2025,03-01-2026,Patrick Ibarra,CUST817,Corporate,PROD3477,Electronics,Laptop,North,Colorado,Jessestad,2,4980,0,9960,6113.5,3846.5,UPI,Returned,"Ferrell, Carter and Davis",craigallen@gonzales.com,2,Yes,25
ORD1063,12-04-2024,14-04-2024,Paige Hammond,CUST208,Consumer,PROD1521,Office Supplies,Pen,South,Arkansas,Ericaberg,8,1606,15,10920.8,9070.98,1849.82,UPI,Returned,"Ortiz, Bowman and Moses",rlopez@james.com,44,No,0
ORD1064,10-01-2025,11-01-2025,Mr. Mitchell Roy MD,CUST273,Home Office,PROD2392,Electronics,Mouse,East,Hawaii,Lake Carlos,10,3854,10,34686,26989.58,7696.42,Cash,Cancelled,"Peterson, Michael and Miller",heidi81@curry-ochoa.com,11,No,0
ORD1065,23-12-2024,24-12-2024,Mr. Robert Rogers,CUST415,Home Office,PROD3777,Office Supplies,Notbook,North,California,Gardnerfurt,1,4035,10,3631.5,2214.02,1417.48,Cash,Returned,Ortiz-Smith,anthony12@williams-houston.biz,15,No,0
ORD1066,10-03-2025,12-03-2025,Jeffrey Butler,CUST493,Corporate,PROD8373,Office Supplies,Notbook,East,Connecticut,South Christopherchester,6,1833,0,10998,7406.69,3591.31,Net Banking,Delivered,Ortiz-Lowery,michaeldavis@george.org,19,No,0
ORD1067,18-09-2024,25-09-2024,Charles Fields,CUST576,Home Office,PROD8194,Office Supplies,Pen,East,Arkansas,Joseburgh,2,4831,20,7729.6,5399.52,2330.08,Credit Card,Delivered,Martin-Meyer,jessica28@martinez-morrison.biz,18,No,0
ORD1068,10-07-2025,16-07-2025,Brandon Hughes,CUST164,Home Office,PROD5381,Office Supplies,Pen,East,Illinois,Valdezhaven,8,3771,15,25642.8,20401.33,5241.47,Credit Card,Returned,Richards-Martin,katrina45@wise.com,48,No,0
ORD1069,05-03-2024,06-03-2024,Kimberly Edwards,CUST237,Corporate,PROD6841,Office Supplies,Notbook,West,New Jersey,New David,5,4330,15,18402.5,12905.3,5497.2,Net Banking,Cancelled,Shea-Cummings,christopherwilson@taylor.org,13,No,0
ORD1070,11-08-2024,18-08-2024,Duane Adams,CUST448,Consumer,PROD4716,Electronics,Laptop,North,Wisconsin,Hancockborough,7,3611,5,24013.15,21580.59,2432.56,UPI,Returned,Lawson-Bond,teresapotts@ramos-hayes.com,2,Yes,28
ORD1071,11-07-2025,15-07-2025,Virginia Kelley,CUST226,Home Office,PROD2559,Office Supplies,Stepler,West,Illinois,South Normantown,8,955,10,6876,5984.03,891.97,Cash,Returned,"Williams, Mills and Larson",handerson@barton-blake.com,12,No,0
ORD1072,04-06-2025,10-06-2025,Edward Conrad,CUST526,Corporate,PROD4555,Electronics,Monitor,North,Delaware,New Matthewbury,3,1895,10,5116.5,3159.78,1956.72,Cash,Pending,Wilcox Inc,smithkenneth@perkins-yoder.info,24,No,0
ORD1073,15-09-2025,21-09-2025,Richard Walker,CUST363,Corporate,PROD3489,Furniture,Dining Table,South,South Dakota,Lake Jamesport,7,3020,20,16912,10812.72,6099.28,UPI,Cancelled,Wallace Ltd,mary33@reyes-wright.com,46,No,0
ORD1074,12-11-2024,16-11-2024,Brian Knapp,CUST641,Home Office,PROD4193,Office Supplies,Notbook,West,Kentucky,North Helenview,8,856,10,6163.2,4863.97,1299.23,Net Banking,Cancelled,"Manning, Sherman and Mccullough",stricklandjennifer@gonzalez.com,8,Yes,25
ORD1075,09-03-2024,15-03-2024,Catherine Maldonado,CUST826,Consumer,PROD1285,Office Supplies,Calculator,East,Arkansas,New Erinshire,3,4951,10,13367.7,9653,3714.7,UPI,Returned,Young-Thomas,rickymurphy@graham-watson.org,9,Yes,22
ORD1076,02-03-2024,08-03-2024,Monique Noble,CUST225,Home Office,PROD4396,Office Supplies,Pen,East,Alaska,Michellefort,6,4452,15,22705.2,19986.89,2718.31,Cash,Delivered,"Gomez, Brewer and Bell",kayla90@stark.biz,37,No,0
ORD1077,13-11-2025,20-11-2025,Ariana Weber,CUST989,Home Office,PROD7559,Office Supplies,Notbook,West,California,Butlerview,7,2096,20,11737.6,8664.09,3073.51,Net Banking,Pending,"Maxwell, Martinez and Mcdaniel",christophermartin@wilson.org,2,Yes,37
ORD1078,30-01-2025,02-02-2025,Mr. Patrick Garcia,CUST855,Home Office,PROD8293,Electronics,Keyboard,West,Indiana,East Yvonnefort,8,2215,15,15062,13080.51,1981.49,Net Banking,Pending,"Rios, Wilson and Contreras",brenda17@harris.com,7,Yes,33
ORD1079,09-07-2025,11-07-2025,Allen Willis,CUST124,Home Office,PROD7778,Office Supplies,Notbook,West,Missouri,Lake Kristen,9,480,20,3456,2915.16,540.84,Net Banking,Returned,Powell-Bryant,reginaldbrown@taylor.biz,18,No,0
ORD1080,27-06-2025,01-07-2025,Kimberly Huff,CUST740,Consumer,PROD3890,Furniture,Office Chair,South,South Dakota,West Donald,1,2220,10,1998,1744.14,253.86,Credit Card,Cancelled,Brown Ltd,reesesophia@ross.com,13,No,0
ORD1081,12-10-2025,16-10-2025,Theresa Steele,CUST220,Consumer,PROD2673,Grocery,Sugar,East,Mississippi,Stephanieton,10,4334,20,34672,29235.4,5436.6,UPI,Pending,Hatfield-Steele,jmoore@martin.com,37,No,0
ORD1082,03-09-2025,05-09-2025,Shannon Alexander,CUST993,Corporate,PROD3034,Office Supplies,Stepler,South,Wisconsin,West Ericashire,2,4963,0,9926,7790.97,2135.03,UPI,Delivered,Porter-Hayes,jimmy13@donovan.com,14,No,0
ORD1083,30-01-2025,04-02-2025,Tonya Brown,CUST712,Home Office,PROD4352,Grocery,Sugar,West,Missouri,Port Paulfurt,2,1529,0,3058,2710.32,347.68,Net Banking,Cancelled,"Griffin, Gallegos and Lynch",jenniferrodriguez@huynh-smith.com,21,No,0
ORD1084,09-04-2024,15-04-2024,Megan Baker,CUST377,Consumer,PROD3891,Electronics,Keyboard,East,South Dakota,New Taylorbury,2,3007,5,5713.3,3964.45,1748.85,Net Banking,Cancelled,Ortega Group,alexandra77@chang.com,46,No,0
ORD1085,13-08-2025,17-08-2025,David Simpson,CUST301,Home Office,PROD2134,Grocery,Juice Pack,South,West Virginia,Torreschester,5,736,20,2944,2599.84,344.16,Net Banking,Cancelled,Chaney-Hughes,christina35@martin.com,32,No,0
ORD1086,09-09-2025,15-09-2025,Jeremiah Sanchez,CUST349,Consumer,PROD3171,Grocery,Sugar,South,Texas,Gonzalezshire,9,3918,10,31735.8,21608.2,10127.6,Credit Card,Pending,"Kline, King and Johnson",shane10@schaefer.biz,17,No,0
ORD1087,20-02-2024,23-02-2024,Christopher Stephenson,CUST795,Consumer,PROD9358,Furniture,Dining Table,North,Colorado,Lake Christinaberg,8,3160,15,21488,14729.06,6758.94,Cash,Returned,"Harris, Stevens and Blackwell",veronica88@smith.net,1,Yes,48
ORD1088,19-07-2024,25-07-2024,Laura Johnson,CUST706,Consumer,PROD5089,Grocery,Sugar,East,Pennsylvania,North Tylerport,10,3777,5,35881.5,29525.24,6356.26,Cash,Pending,"Park, Roberts and Wright",elong@cain.com,44,No,0
ORD1089,22-01-2025,28-01-2025,Michael Ford,CUST961,Consumer,PROD8224,Furniture,Bookshelf,South,North Dakota,New Dustinborough,6,1977,5,11268.9,10041.23,1227.67,UPI,Returned,Walsh-Perez,peggybrown@nelson-perkins.com,28,No,0
ORD1090,23-05-2025,26-05-2025,Ashley Alvarez,CUST126,Corporate,PROD1665,Office Supplies,Calculator,East,Hawaii,Silvaland,4,3358,15,11417.2,9571.93,1845.27,UPI,Pending,"Griffith, Myers and Woods",shorn@copeland.com,42,No,0
ORD1091,30-08-2025,31-08-2025,Michael Foster,CUST275,Home Office,PROD8697,Electronics,Mouse,West,Maryland,Port Alexandra,4,419,5,1592.2,1083.28,508.92,Net Banking,Returned,"Carney, Turner and Neal",kbishop@williamson.org,2,Yes,30
ORD1092,26-11-2024,03-12-2024,Amanda Williams,CUST106,Consumer,PROD1568,Office Supplies,Stepler,East,Wyoming,Joshuachester,3,2085,20,5004,3187.5,1816.5,Net Banking,Cancelled,Calderon-Fisher,adambauer@harris.com,33,No,0
ORD1093,16-07-2025,23-07-2025,Sarah Shepherd,CUST215,Corporate,PROD6956,Office Supplies,File Folder,East,Colorado,West Shawn,3,3217,5,9168.45,6168.51,2999.94,Credit Card,Returned,Kelley PLC,gpotter@page.net,4,Yes,37
ORD1094,20-09-2025,24-09-2025,Donna King,CUST131,Home Office,PROD7085,Office Supplies,Stepler,West,Nebraska,South Duane,8,4152,0,33216,26786.27,6429.73,Cash,Returned,"Bryan, Shelton and Johnson",charles27@perez.com,30,No,0
ORD1095,18-01-2026,21-01-2026,Brandon Rios,CUST743,Consumer,PROD8515,Furniture,Office Chair,South,Arizona,Dianaport,6,3729,20,17899.2,15318.72,2580.48,UPI,Cancelled,"Bates, Moore and Ballard",jason91@martin-reed.org,17,No,0
ORD1096,06-06-2024,11-06-2024,Jill Jones,CUST284,Consumer,PROD2927,Electronics,Monitor,North,Illinois,Port Brandihaven,5,1468,0,7340,6177.33,1162.67,Net Banking,Delivered,"Johnson, Flores and Johnson",jamieharris@wyatt-brown.com,32,No,0
ORD1097,21-01-2025,28-01-2025,Jessica Fleming,CUST170,Home Office,PROD3933,Office Supplies,File Folder,South,Connecticut,South Carolynview,9,4264,20,30700.8,21068.52,9632.28,UPI,Delivered,Graham-Perkins,sortega@alvarez.com,7,Yes,34
ORD1098,21-03-2024,27-03-2024,Steven Mckee,CUST720,Consumer,PROD9325,Furniture,Study Table,North,Wisconsin,East Jacobborough,6,4809,10,25968.6,18915.11,7053.49,UPI,Delivered,"Robles, Sparks and Mills",ushaw@price.biz,17,No,0
ORD1099,15-10-2024,17-10-2024,Kelly Martinez,CUST813,Corporate,PROD3544,Office Supplies,Stepler,West,New Mexico,Hallton,5,430,20,1720,1537.01,182.99,Cash,Pending,Hernandez-Morales,allison58@luna.com,25,No,0
ORD1100,28-05-2025,01-06-2025,Nicholas Matthews,CUST691,Corporate,PROD5134,Furniture,Study Table,North,Ohio,Newtonberg,7,1629,5,10832.85,7671.2,3161.65,Net Banking,Pending,Rogers-Willis,bholmes@murphy.com,24,No,0
ORD1101,30-06-2024,03-07-2024,Nancy Mullins,CUST119,Home Office,PROD2564,Electronics,Keyboard,East,Mississippi,Sharonport,1,1306,15,1110.1,723.07,387.03,Net Banking,Delivered,Williamson-Patton,gonzalezkristy@harrison.com,11,No,0
ORD1102,21-06-2024,26-06-2024,Kendra Norton,CUST415,Home Office,PROD3932,Electronics,Headphones,East,South Carolina,New Samantha,7,4656,10,29332.8,19721.38,9611.42,UPI,Pending,"Cook, Cohen and Watkins",jerry02@smith-myers.net,29,No,0
ORD1103,11-06-2025,12-06-2025,Michelle Miles,CUST495,Home Office,PROD4684,Furniture,Study Table,East,Iowa,Port Aaron,8,4702,20,30092.8,24738.44,5354.36,Credit Card,Pending,"Roberts, Sherman and Martin",rodriguezjohn@benson.com,44,No,0
ORD1104,16-05-2024,23-05-2024,Scott Bridges,CUST260,Home Office,PROD8966,Grocery,Sugar,North,Florida,East Tylerbury,1,2882,10,2593.8,1692.12,901.68,Credit Card,Returned,Matthews Group,jamesstafford@ford-fernandez.com,5,Yes,33
